step,sim_time,algorithm,avg_speed_kmh,avg_queue,avg_latency_ms,co2_total,active_vehicles
0,0.0,astar,52.7038,0.0338,29001.1687,1642.68,1
1,1.0,astar,52.7785,0.0,28793.688,3006.7683,1
2,2.0,astar,52.1193,0.0338,29737.5,5211.8824,2
3,3.0,astar,52.3281,0.0,29282.0585,8780.4048,2
4,4.0,astar,51.7624,0.0338,30092.9104,10486.3958,3
5,5.0,astar,52.0408,0.0,29524.3398,13218.063,3
6,6.0,astar,51.4386,0.0338,29427.1436,17049.8232,4
7,7.0,astar,51.9341,0.0,28870.9487,26873.6356,4
8,8.0,astar,51.7134,0.0338,28977.7395,25103.356,5
9,9.0,astar,52.1058,0.0,28629.866,27792.2481,5
10,10.0,astar,51.7001,0.0338,29507.4461,30006.9822,6
11,11.0,astar,52.0508,0.0,29033.9657,26166.675,6
12,12.0,astar,51.5159,0.0338,29622.5993,32208.1346,7
13,13.0,astar,52.0166,0.0,29068.9631,38802.7788,7
14,14.0,astar,51.5828,0.0338,29849.6446,32893.3951,8
15,15.0,astar,51.8784,0.0,29422.9549,32123.6952,8
16,16.0,astar,51.6823,0.0338,29626.9237,30252.6854,9
17,17.0,astar,52.0308,0.0,29088.0088,34263.3886,9
18,18.0,astar,51.5509,0.0338,29894.5351,32448.9206,10
19,19.0,astar,51.8736,0.0,29455.6137,34339.4124,10
20,20.0,astar,52.3589,0.0,28920.1746,49874.4295,10
21,21.0,astar,52.2408,0.0338,29499.9273,33446.0653,11
22,22.0,astar,51.8454,0.0338,30062.4515,46692.275,12
23,23.0,astar,52.1477,0.0,29478.6153,27488.6815,11
24,24.0,astar,51.4497,0.0338,29396.6914,41663.8658,13
25,25.0,astar,51.8084,0.0,29023.3112,41837.5918,13
26,26.0,astar,51.1787,0.0338,29684.5502,43980.1861,14
27,27.0,astar,51.4614,0.0,29265.9707,39314.211,14
28,28.0,astar,51.137,0.0338,30040.072,55197.3097,15
29,29.0,astar,51.5959,0.0,29415.3501,50612.3219,15
30,30.0,astar,51.4198,0.0338,29607.8098,38637.8715,16
31,31.0,astar,51.8514,0.0,29177.7124,55919.9463,16
32,32.0,astar,51.7027,0.0338,29282.6204,56078.6533,17
33,33.0,astar,51.9314,0.0,28951.2434,49682.3127,17
34,34.0,astar,51.6491,0.0338,29167.5597,56677.0077,18
35,35.0,astar,52.0841,0.0,28799.6291,68968.9349,18
36,36.0,astar,51.7666,0.0338,29243.5719,52705.8798,19
37,37.0,astar,51.8657,0.0,29071.3161,55537.796,19
38,38.0,astar,50.8344,0.0338,29574.1388,52191.2911,20
39,39.0,astar,50.9869,0.0,29558.2295,64779.6627,20
40,40.0,astar,50.3882,0.0338,30181.983,59809.4431,21
41,41.0,astar,50.5803,0.0,29763.5196,62462.8251,21
42,42.0,astar,49.8614,0.0338,30466.9035,53998.1989,22
43,43.0,astar,49.6573,0.0,30647.9743,65024.8954,22
44,44.0,astar,48.9617,0.0675,31110.4141,61946.7071,23
45,45.0,astar,49.3515,0.0675,30837.4648,89190.1358,23
46,46.0,astar,49.6557,0.1013,30714.9668,87319.8232,23
47,47.0,astar,49.1909,0.135,31357.7504,62582.4311,24
48,48.0,astar,49.1716,0.1688,31782.4293,85715.3885,25
49,49.0,astar,49.2119,0.135,31656.855,77020.9484,25
50,50.0,astar,50.5075,0.1013,30005.0,55023.1321,22
51,51.0,astar,49.7868,0.0675,30733.4128,65148.2112,23
52,52.0,astar,48.8,0.1013,31717.7475,70487.2506,25
53,53.0,astar,49.074,0.0675,31098.7661,82150.116,25
54,54.0,astar,48.2373,0.1013,32331.4927,101515.9839,28
55,55.0,astar,48.8092,0.0675,31355.3712,111863.8845,28
56,56.0,astar,48.6218,0.135,31373.6003,89885.2216,28
57,57.0,astar,49.3225,0.1013,30637.4045,112194.9085,28
58,58.0,astar,49.7164,0.1013,30232.6488,97299.8071,28
59,59.0,astar,49.65,0.135,30380.6768,67448.6673,28
60,60.0,astar,48.6146,0.135,30761.5906,70689.5574,29
61,61.0,astar,48.928,0.1013,30477.2675,78004.7157,29
62,62.0,astar,48.5548,0.135,30761.5706,74242.9579,29
63,63.0,astar,48.7888,0.1013,30563.9078,81152.113,29
64,64.0,astar,48.5505,0.135,30934.8287,85561.7609,31
65,65.0,astar,49.0422,0.1013,30564.0411,108558.217,31
66,66.0,astar,49.2027,0.135,30680.007,89439.9044,31
67,67.0,astar,49.2034,0.1013,30637.9862,93322.3057,32
68,68.0,astar,48.8009,0.135,30908.4729,99817.4685,33
69,69.0,astar,48.8883,0.1013,30812.156,85262.2179,33
70,70.0,astar,48.3604,0.135,31331.5759,104812.9751,33
71,71.0,astar,48.2673,0.1013,31251.9954,89960.9066,33
72,72.0,astar,46.9141,0.135,6252151.6816,94021.9315,34
73,73.0,astar,47.1125,0.1013,36290.1135,101499.3026,36
74,74.0,astar,47.5523,0.1688,33109.241,93356.3231,36
75,75.0,astar,47.2445,0.1688,32918.1976,102445.8601,36
76,76.0,astar,46.4428,0.2025,32509.935,122580.0473,37
77,77.0,astar,46.9308,0.1688,31861.1083,114579.1566,37
78,78.0,astar,46.6849,0.2025,32215.3591,119495.4936,38
79,79.0,astar,47.1132,0.1688,31812.3622,107834.9196,38
80,80.0,astar,46.9983,0.2362,32003.6986,134313.5204,40
81,81.0,astar,47.3262,0.2025,31685.0439,106326.3609,40
82,82.0,astar,46.8523,0.2362,32483.2356,95736.5949,41
83,83.0,astar,46.8949,0.2025,32614.1053,112083.7984,41
84,84.0,astar,47.0323,0.3038,32687.6504,132081.6872,42
85,85.0,astar,46.9332,0.27,32696.1797,94778.7867,42
86,86.0,astar,46.5212,0.3038,33265.0268,108272.0596,43
87,87.0,astar,46.2517,0.3038,34257.3517,94554.2632,42
88,88.0,astar,44.8758,0.3375,40227.7473,89066.965,43
89,89.0,astar,44.5502,0.3038,56454.4908,85816.8021,43
90,90.0,astar,49.2034,0.1013,31505.8825,108153.5828,34
91,91.0,astar,49.348,0.0338,31524.3805,76943.1629,32
92,92.0,astar,48.6056,0.1013,32801.3607,109498.685,37
93,93.0,astar,48.4758,0.0675,33130.8567,106213.8427,39
94,94.0,astar,47.7525,0.1013,33537.0232,111942.0916,41
95,95.0,astar,46.3832,0.1013,36244.6258,159476.7502,45
96,96.0,astar,46.868,0.1013,34338.0018,159558.4565,45
97,97.0,astar,48.1013,0.0675,32764.358,168955.6708,44
98,98.0,astar,48.1081,0.0675,32562.1332,141792.6415,45
99,99.0,astar,47.5728,0.135,32779.9814,179829.6114,48
100,100.0,astar,47.0759,0.1688,33440.6218,139262.8889,49
101,101.0,astar,46.9499,0.1688,33746.6036,140062.1676,49
102,102.0,astar,46.4252,0.2362,34489.9277,139712.9209,49
103,103.0,astar,46.7408,0.2362,34864.3074,136263.646,49
104,104.0,astar,46.667,0.27,35549.2405,134567.9272,48
105,105.0,astar,46.6851,0.27,35866.9366,120224.456,49
106,106.0,astar,46.2748,0.3375,36674.487,125252.6438,49
107,107.0,astar,46.6931,0.3713,36217.3465,143793.1237,49
108,108.0,astar,46.7196,0.3713,36042.0403,135616.9403,49
109,109.0,astar,46.5799,0.405,36346.014,133964.9252,50
110,110.0,astar,45.2661,0.405,38248.7086,106149.8443,52
111,111.0,astar,45.3983,0.3713,38583.68,142537.9201,52
112,112.0,astar,44.989,0.405,40006.5503,146027.6707,52
113,113.0,astar,45.0708,0.405,39582.159,150180.0415,52
114,114.0,astar,44.2929,0.4725,39949.4842,91580.0594,52
