step,sim_time,algorithm,avg_speed_kmh,avg_queue,avg_latency_ms,co2_total,active_vehicles
0,0.0,dijkstra,51.0395,0.0359,30382.1767,1749.15,1
1,1.0,dijkstra,51.1119,0.0,30164.816,3201.6514,1
2,2.0,dijkstra,50.4735,0.0359,31153.5714,5549.6896,2
3,3.0,dijkstra,50.6756,0.0,30676.4422,9349.5052,2
4,4.0,dijkstra,50.1278,0.0359,31525.9062,11166.0696,3
5,5.0,dijkstra,50.3974,0.0,30930.2607,14074.7893,3
6,6.0,dijkstra,49.8142,0.0359,30828.4361,18154.9044,4
7,7.0,dijkstra,50.2941,0.0,30245.7558,28615.4453,4
8,8.0,dijkstra,50.0804,0.0359,30357.6318,26730.4254,5
9,9.0,dijkstra,50.4604,0.0,29993.1929,29593.5975,5
10,10.0,dijkstra,50.0675,0.0359,30912.5626,31951.8791,6
11,11.0,dijkstra,50.4071,0.0,30416.5355,27862.6632,6
12,12.0,dijkstra,49.889,0.0359,31033.1993,34295.6989,7
13,13.0,dijkstra,50.374,0.0,30453.1995,41317.7737,7
14,14.0,dijkstra,49.9539,0.0359,31271.0562,35025.3744,8
15,15.0,dijkstra,50.2402,0.0,30824.048,34205.7865,8
16,16.0,dijkstra,50.0503,0.0359,31037.7296,32213.5076,9
17,17.0,dijkstra,50.3877,0.0,30473.1521,36484.1638,9
18,18.0,dijkstra,49.923,0.0359,31318.0844,34552.0914,10
19,19.0,dijkstra,50.2354,0.0,30858.262,36565.115,10
20,20.0,dijkstra,50.7055,0.0,30297.3258,53107.0315,10
21,21.0,dijkstra,50.5911,0.0359,30904.6857,35613.8658,11
22,22.0,dijkstra,50.2081,0.0359,31493.9968,49718.6262,12
23,23.0,dijkstra,50.501,0.0,30882.3589,29270.3553,11
24,24.0,dijkstra,49.8249,0.0359,30796.5338,44364.3016,13
25,25.0,dijkstra,50.1723,0.0,30405.3737,44549.2876,13
26,26.0,dijkstra,49.5625,0.0359,31098.1002,46830.7537,14
27,27.0,dijkstra,49.8363,0.0,30659.5884,41862.3543,14
28,28.0,dijkstra,49.5222,0.0359,31470.5517,58774.9131,15
29,29.0,dijkstra,49.9666,0.0,30816.0811,53892.7502,15
30,30.0,dijkstra,49.796,0.0359,31017.7055,41142.1779,16
31,31.0,dijkstra,50.214,0.0,30567.1273,59544.3872,16
32,32.0,dijkstra,50.07,0.0359,30677.0309,59713.3808,17
33,33.0,dijkstra,50.2915,0.0,30329.874,52902.4626,17
34,34.0,dijkstra,50.0181,0.0359,30556.4911,60350.5175,18
35,35.0,dijkstra,50.4393,0.0,30171.04,73439.1436,18
