step,sim_time,algorithm,avg_speed_kmh,avg_queue,avg_latency_ms,co2_total,active_vehicles
0,0.0,static,47.156,0.0406,34525.2008,2053.35,1
1,1.0,static,47.2229,0.0,34278.2,3758.4603,1
2,2.0,static,46.6331,0.0406,35401.7857,6514.853,2
3,3.0,static,46.8199,0.0,34859.5935,10975.506,2
4,4.0,static,46.3137,0.0406,35824.8934,13107.9948,3
5,5.0,static,46.5629,0.0,35148.0235,16522.5787,3
6,6.0,static,46.024,0.0406,35032.3138,21312.279,4
7,7.0,static,46.4674,0.0,34370.1771,33592.0445,4
8,8.0,static,46.2699,0.0406,34497.3089,31379.195,5
9,9.0,static,46.621,0.0,34083.1738,34740.3101,5
10,10.0,static,46.258,0.0406,35127.912,37508.7277,6
11,11.0,static,46.5718,0.0,34564.2449,32708.3437,6
12,12.0,static,46.0931,0.0406,35264.9992,40260.1683,7
13,13.0,static,46.5412,0.0,34605.9085,48503.4735,7
14,14.0,static,46.1531,0.0406,35535.2912,41116.7438,8
15,15.0,static,46.4176,0.0,35027.3272,40154.619,8
16,16.0,static,46.2421,0.0406,35270.1472,37815.8568,9
17,17.0,static,46.5539,0.0,34628.5819,42829.2357,9
18,18.0,static,46.1245,0.0406,35588.7323,40561.1507,10
19,19.0,static,46.4132,0.0,35066.2068,42924.2655,10
20,20.0,static,46.8474,0.0,34428.7793,62343.0369,10
21,21.0,static,46.7418,0.0406,35118.9611,41807.5816,11
22,22.0,static,46.388,0.0406,35788.6327,58365.3438,12
23,23.0,static,46.6585,0.0,35093.5897,34360.8519,11
24,24.0,static,46.0339,0.0406,34996.0612,52079.8323,13
25,25.0,static,46.3549,0.0,34551.561,52296.9898,13
26,26.0,static,45.7915,0.0406,35338.7503,54975.2326,14
27,27.0,static,46.0444,0.0,34840.4413,49142.7638,14
28,28.0,static,45.7542,0.0406,35761.9905,68996.6371,15
29,29.0,static,46.1648,0.0,35018.2739,63265.4024,15
30,30.0,static,46.0072,0.0406,35247.3926,48297.3393,16
31,31.0,static,46.3933,0.0,34735.3719,69899.9328,16
32,32.0,static,46.2603,0.0406,34860.2624,70098.3166,17
33,33.0,static,46.4649,0.0,34465.7659,62102.8908,17
34,34.0,static,46.2123,0.0406,34723.2853,70846.2596,18
35,35.0,static,46.6015,0.0,34285.2727,86211.1686,18
36,36.0,static,46.3175,0.0406,34813.7761,65882.3498,19
37,37.0,static,46.4061,0.0,34608.7097,69422.245,19
38,38.0,static,45.4834,0.0406,35207.3082,65239.1139,20
39,39.0,static,45.6198,0.0,35188.3684,80974.5784,20
40,40.0,static,45.0841,0.0406,35930.9321,74761.8039,21
41,41.0,static,45.2561,0.0,35432.7615,78078.5314,21
42,42.0,static,44.6128,0.0406,36270.1232,67497.7486,22
43,43.0,static,44.4302,0.0,36485.6837,81281.1193,22
44,44.0,static,43.8078,0.0812,37036.2073,77433.3838,23
45,45.0,static,44.1566,0.0812,36711.2676,111487.6697,23
46,46.0,static,44.4288,0.1219,36565.4366,109149.779,23
47,47.0,static,44.0129,0.1625,37330.6553,78228.0389,24
48,48.0,static,43.9956,0.2031,37836.2253,107144.2357,25
49,49.0,static,44.0317,0.1625,37686.7321,96276.1855,25
50,50.0,static,45.1909,0.1219,35720.2381,68778.9151,22
51,51.0,static,44.5461,0.0812,36587.3962,81435.264,23
52,52.0,static,43.6632,0.1219,37759.2232,88109.0633,25
53,53.0,static,43.9083,0.0812,37022.3406,102687.645,25
54,54.0,static,43.1597,0.1219,38489.8723,126894.9799,28
55,55.0,static,43.6714,0.0812,37327.8229,139829.8557,28
56,56.0,static,43.5037,0.1625,37349.5242,112356.5271,28
57,57.0,static,44.1307,0.1219,36473.1005,140243.6356,28
58,58.0,static,44.4831,0.1219,35991.2486,121624.7589,28
59,59.0,static,44.4237,0.1625,36167.4724,84310.8341,28
60,60.0,static,43.4973,0.1625,36620.9412,88361.9467,29
61,61.0,static,43.7777,0.1219,36282.4613,97505.8946,29
62,62.0,static,43.4437,0.1625,36620.9173,92803.6974,29
