step,sim_time,algorithm,avg_speed_kmh,avg_queue,avg_latency_ms,co2_total,active_vehicles,reroute_events
0,1.0,leacer,55.478,0.0312,27620.16,365985.6117,1,1
1,2.0,leacer,55.556,0.0,27422.56,365984.4121,1,1
2,3.0,leacer,54.862,0.0312,28321.43,368318.5667,2,1
3,4.0,leacer,55.082,0.0,27887.67,368316.1931,2,1
4,5.0,leacer,54.487,0.0312,28659.91,370649.8022,3,1
5,6.0,leacer,54.78,0.0,28118.42,370646.8941,3,1
6,7.0,leacer,54.146,0.0312,28025.85,372975.3335,4,1
7,8.0,leacer,54.667,0.0,27496.14,372973.3313,4,1
8,9.0,leacer,54.435,0.0312,27597.85,375303.5895,5,1
9,10.0,leacer,54.848,0.0,27266.54,375302.4644,5,1
10,11.0,leacer,54.421,0.0312,28102.33,377636.8501,6,1
11,12.0,leacer,54.79,0.0,27651.4,377634.616,6,1
12,13.0,leacer,54.227,0.0312,28212.0,379966.7572,7,1
13,14.0,leacer,54.754,0.0,27684.73,379964.5116,7,1
14,15.0,leacer,54.298,0.0312,28428.23,382298.2901,8,1
15,16.0,leacer,54.609,0.0,28021.86,382296.2811,8,1
16,17.0,leacer,54.402,0.0312,28216.12,384626.9763,9,1
17,18.0,leacer,54.769,0.0,27702.87,384624.61,9,1
18,19.0,leacer,54.264,0.0312,28470.99,386958.4743,10,1
19,20.0,leacer,54.604,0.0,28052.97,386956.4747,10,1
20,21.0,leacer,55.115,0.0,27543.02,386954.3187,10,1
21,22.0,leacer,54.99,0.0312,28095.17,389288.0448,11,1
22,23.0,leacer,54.574,0.0312,28630.91,391620.1021,12,1
23,24.0,leacer,54.892,0.0,28074.87,389286.9565,11,1
24,25.0,leacer,54.158,0.0312,27996.85,393945.2676,13,1
25,26.0,leacer,54.535,0.0,27641.25,393943.961,13,1
26,27.0,leacer,53.872,0.0312,28271.0,396276.5046,14,1
27,28.0,leacer,54.17,0.0,27872.35,396274.7443,14,1
28,29.0,leacer,53.828,0.0312,28609.59,398608.6955,15,1
29,30.0,leacer,54.311,0.0,28014.62,398605.8286,15,1
30,31.0,leacer,54.126,0.0312,28197.91,400936.443,16,1
31,32.0,leacer,54.58,0.0,27788.3,400934.8148,16,2
32,33.0,leacer,54.424,0.0312,27888.21,403265.1027,17,2
33,34.0,leacer,54.665,0.0,27572.61,403263.7703,17,2
34,35.0,leacer,54.367,0.0312,27778.63,405594.4274,18,2
35,36.0,leacer,54.825,0.0,27428.22,405593.2118,18,2
36,37.0,leacer,54.491,0.0312,27851.02,407925.0916,19,2
37,38.0,leacer,54.595,0.0,27686.97,407924.2933,19,2
38,39.0,leacer,53.51,0.0312,28165.85,410255.2471,20,2
39,40.0,leacer,53.67,0.0,28150.69,410255.4802,20,2
40,41.0,leacer,53.04,0.0312,28744.75,412587.8439,21,2
41,42.0,leacer,53.242,0.0,28346.21,412586.0508,21,2
42,43.0,leacer,52.486,0.0312,29016.1,414918.6793,22,2
43,44.0,leacer,52.271,0.0,29188.55,414919.1451,22,2
44,45.0,leacer,51.539,0.0625,29628.97,417250.3032,23,2
45,46.0,leacer,51.949,0.0625,29369.01,417249.419,23,2
46,47.0,leacer,52.269,0.0938,29252.35,417249.2396,23,2
47,48.0,leacer,51.78,0.125,29864.52,419581.8425,24,2
48,49.0,leacer,51.76,0.1562,30268.98,421914.3249,25,2
49,50.0,leacer,51.802,0.125,30149.39,421913.5481,25,2
50,51.0,leacer,53.166,0.0938,28576.19,414916.6599,22,2
51,52.0,leacer,52.407,0.0625,29269.92,417249.5267,23,2
52,53.0,leacer,51.368,0.0938,30207.38,421913.6095,25,2
53,54.0,leacer,51.657,0.0625,29617.87,421910.5377,25,2
54,55.0,leacer,50.776,0.0938,30791.9,428906.331,28,2
55,56.0,leacer,51.378,0.0625,29862.26,428901.4048,28,2
56,57.0,leacer,51.181,0.125,29879.62,428901.0066,28,2
57,58.0,leacer,51.918,0.0938,29178.48,428898.2256,28,2
58,59.0,leacer,52.333,0.0938,28793.0,428896.7529,28,2
59,60.0,leacer,52.263,0.125,28933.98,428897.3896,28,2
60,61.0,leacer,51.173,0.125,29296.75,431227.762,29,2
61,62.0,leacer,51.503,0.0938,29025.97,431226.8893,29,2
